"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Barry County, MI"	"26015"	Suppressed	238278	Suppressed
	"Bay County, MI"	"26017"	Suppressed	422909	Suppressed
	"Benzie County, MI"	"26019"	Suppressed	69977	Suppressed
	"Berrien County, MI"	"26021"	13	619380	Unreliable
	"Branch County, MI"	"26023"	Suppressed	174268	Suppressed
	"Calhoun County, MI"	"26025"	53	538332	9.8
	"Cass County, MI"	"26027"	Suppressed	206556	Suppressed
	"Charlevoix County, MI"	"26029"	Suppressed	104627	Suppressed
	"Cheboygan County, MI"	"26031"	Suppressed	102197	Suppressed
	"Chippewa County, MI"	"26033"	Suppressed	152761	Suppressed
	"Clare County, MI"	"26035"	Suppressed	122427	Suppressed
	"Clinton County, MI"	"26037"	Suppressed	309869	Suppressed
	"Crawford County, MI"	"26039"	Suppressed	55357	Suppressed
	"Delta County, MI"	"26041"	Suppressed	145806	Suppressed
	"Dickinson County, MI"	"26043"	Suppressed	103258	Suppressed
	"Eaton County, MI"	"26045"	27	434755	6.2
	"Emmet County, MI"	"26047"	Suppressed	132698	Suppressed
	"Genesee County, MI"	"26049"	123	1646505	7.5
	"Gladwin County, MI"	"26051"	Suppressed	101302	Suppressed
	"Gogebic County, MI"	"26053"	Suppressed	62426	Suppressed
	"Grand Traverse County, MI"	"26055"	22	364212	6.0
	"Gratiot County, MI"	"26057"	Suppressed	166191	Suppressed
	"Hillsdale County, MI"	"26059"	Suppressed	183751	Suppressed
	"Houghton County, MI"	"26061"	Suppressed	145405	Suppressed
	"Huron County, MI"	"26063"	Suppressed	127452	Suppressed
	"Ingham County, MI"	"26065"	78	1143087	6.8
	"Ionia County, MI"	"26067"	Suppressed	256881	Suppressed
	"Iosco County, MI"	"26069"	Suppressed	101356	Suppressed
	"Iron County, MI"	"26071"	Suppressed	45375	Suppressed
	"Isabella County, MI"	"26073"	11	282813	Unreliable
	"Jackson County, MI"	"26075"	Suppressed	638244	Suppressed
	"Kalamazoo County, MI"	"26077"	47	1038791	4.5
	"Kalkaska County, MI"	"26079"	Suppressed	69484	Suppressed
	"Kent County, MI"	"26081"	87	2535900	3.4
	"Keweenaw County, MI"	"26083"	Suppressed	8681	Suppressed
	"Lake County, MI"	"26085"	Suppressed	46164	Suppressed
	"Lapeer County, MI"	"26087"	18	353089	Unreliable
	"Leelanau County, MI"	"26089"	Suppressed	87300	Suppressed
	"Lenawee County, MI"	"26091"	11	395431	Unreliable
	"Livingston County, MI"	"26093"	52	747006	7.0
	"Luce County, MI"	"26095"	Suppressed	25701	Suppressed
	"Mackinac County, MI"	"26097"	Suppressed	43705	Suppressed
	"Macomb County, MI"	"26099"	294	3451096	8.5
	"Manistee County, MI"	"26101"	Suppressed	97758	Suppressed
	"Marquette County, MI"	"26103"	Suppressed	269093	Suppressed
	"Mason County, MI"	"26105"	Suppressed	115285	Suppressed
	"Mecosta County, MI"	"26107"	Suppressed	172752	Suppressed
	"Menominee County, MI"	"26109"	Suppressed	94099	Suppressed
	"Midland County, MI"	"26111"	Suppressed	334389	Suppressed
	"Missaukee County, MI"	"26113"	Suppressed	59989	Suppressed
	"Monroe County, MI"	"26115"	52	599417	8.7
	"Montcalm County, MI"	"26117"	15	252493	Unreliable
	"Montmorency County, MI"	"26119"	Suppressed	37159	Suppressed
	"Muskegon County, MI"	"26121"	40	689835	5.8
	"Newaygo County, MI"	"26123"	Suppressed	192091	Suppressed
	"Oakland County, MI"	"26125"	83	4962648	1.7
	"Oceana County, MI"	"26127"	Suppressed	105013	Suppressed
	"Ogemaw County, MI"	"26129"	Suppressed	84191	Suppressed
	"Ontonagon County, MI"	"26131"	Suppressed	24382	Suppressed
	"Osceola County, MI"	"26133"	Suppressed	92746	Suppressed
	"Oscoda County, MI"	"26135"	Suppressed	33288	Suppressed
	"Otsego County, MI"	"26137"	Suppressed	97078	Suppressed
	"Ottawa County, MI"	"26139"	32	1115331	2.9
	"Presque Isle County, MI"	"26141"	Suppressed	51698	Suppressed
	"Roscommon County, MI"	"26143"	Suppressed	95762	Suppressed
	"Saginaw County, MI"	"26145"	26	776795	3.3
	"St. Clair County, MI"	"26147"	41	639772	6.4
	"St. Joseph County, MI"	"26149"	Suppressed	243875	Suppressed
	"Sanilac County, MI"	"26151"	Suppressed	166154	Suppressed
	"Schoolcraft County, MI"	"26153"	Suppressed	32640	Suppressed
	"Shiawassee County, MI"	"26155"	14	274898	Unreliable
	"Tuscola County, MI"	"26157"	Suppressed	214804	Suppressed
	"Van Buren County, MI"	"26159"	12	301084	Unreliable
	"Washtenaw County, MI"	"26161"	77	1437621	5.4
	"Wayne County, MI"	"26163"	697	7053028	9.9
	"Wexford County, MI"	"26165"	Suppressed	131810	Suppressed
	"Aitkin County, MN"	"27001"	Suppressed	63044	Suppressed
	"Anoka County, MN"	"27003"	20	1376922	1.5
	"Becker County, MN"	"27005"	Suppressed	133974	Suppressed
