"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Roosevelt County, MT"	"30085"	Suppressed	202550	Suppressed
	"Rosebud County, MT"	"30087"	Suppressed	175739	Suppressed
	"Sanders County, MT"	"30089"	Suppressed	210772	Suppressed
	"Sheridan County, MT"	"30091"	Suppressed	69344	Suppressed
	"Silver Bow County, MT"	"30093"	13	647901	Unreliable
	"Stillwater County, MT"	"30095"	Suppressed	168405	Suppressed
	"Sweet Grass County, MT"	"30097"	Suppressed	69402	Suppressed
	"Teton County, MT"	"30099"	Suppressed	117229	Suppressed
	"Toole County, MT"	"30101"	Suppressed	97484	Suppressed
	"Treasure County, MT"	"30103"	Suppressed	14329	Suppressed
	"Valley County, MT"	"30105"	Suppressed	142412	Suppressed
	"Wheatland County, MT"	"30107"	Suppressed	40665	Suppressed
	"Wibaux County, MT"	"30109"	Suppressed	19792	Suppressed
	"Yellowstone County, MT"	"30111"	26	2733837	1.0
	"Adams County, NE"	"31001"	Suppressed	592711	Suppressed
	"Antelope County, NE"	"31003"	Suppressed	129499	Suppressed
	"Arthur County, NE"	"31005"	Suppressed	8543	Suppressed
	"Banner County, NE"	"31007"	Suppressed	14239	Suppressed
	"Blaine County, NE"	"31009"	Suppressed	9629	Suppressed
	"Boone County, NE"	"31011"	Suppressed	107622	Suppressed
	"Box Butte County, NE"	"31013"	Suppressed	218783	Suppressed
	"Boyd County, NE"	"31015"	Suppressed	41101	Suppressed
	"Brown County, NE"	"31017"	Suppressed	61219	Suppressed
	"Buffalo County, NE"	"31019"	Suppressed	866033	Suppressed
	"Burt County, NE"	"31021"	Suppressed	133830	Suppressed
	"Butler County, NE"	"31023"	Suppressed	160302	Suppressed
	"Cass County, NE"	"31025"	Suppressed	477243	Suppressed
	"Cedar County, NE"	"31027"	Suppressed	171058	Suppressed
	"Chase County, NE"	"31029"	Suppressed	75882	Suppressed
	"Cherry County, NE"	"31031"	Suppressed	112026	Suppressed
	"Cheyenne County, NE"	"31033"	Suppressed	190030	Suppressed
	"Clay County, NE"	"31035"	Suppressed	125356	Suppressed
	"Colfax County, NE"	"31037"	Suppressed	197632	Suppressed
